ax;ay;az;gx;gy;gz;t
1816;-7472;13548;135;-301;42;80815
2000;-7416;13996;450;-466;361;80900
2240;-7184;13656;705;-162;163;80985
2372;-7024;13736;968;160;-212;81071
2204;-6960;13628;1318;238;-427;81156
2144;-6532;13980;1536;225;-425;81241
2324;-6316;13956;1837;409;117;81326
2160;-5688;14036;1580;436;-168;81412
2756;-3872;9256;-5689;400;303;81497
1812;-7056;11492;-21611;4639;-3313;81582
216;-15336;17032;1752;1155;-511;81667
1472;-9780;11180;5594;-875;1511;81753
1504;-8992;11972;4412;139;1712;81838
1396;-8632;13072;3686;122;957;81923
1096;-7776;12964;2342;73;453;82009
980;-7052;14352;2209;-314;468;82094
1084;-6308;13972;2377;-524;545;82179
1324;-6140;13312;525;-261;389;82264
1164;-6672;13824;-622;-446;158;82350
1480;-6856;14336;-467;-691;548;82435
1776;-7040;13856;109;-383;417;82520
1796;-6688;14024;581;-72;-89;82606
2140;-6856;14380;1318;157;-125;82691
1636;-6696;13812;2135;599;-825;82776
1676;-5708;14308;1331;1382;-1451;82861
1116;-5524;14464;1726;996;-851;82947
1452;-5276;14536;2252;1503;-986;83032
1040;-4384;14544;1572;1425;-1990;83117
928;-4208;14312;-590;1051;-2077;83203
852;-4196;14240;-1875;587;-1659;83288
920;-2824;8956;-16325;1616;-199;83373
536;-14776;24012;-13238;3134;919;83458
-492;-10356;12152;6156;-780;-238;83544
440;-8148;11756;4252;-800;971;83629
372;-8268;13288;2883;-843;1259;83714
164;-7876;14060;2855;-1559;1032;83800
436;-6828;13920;2729;-2750;1452;83885
1200;-6112;13860;2244;-2970;1599;83970
2068;-5944;13604;1361;-2275;1117;84055
2176;-6012;13728;-72;-1324;845;84141
2188;-6540;13888;-445;-850;816;84226
2428;-6792;14152;456;-58;-85;84311
2452;-6052;13852;966;25;-396;84396
2308;-5748;14224;650;69;81;84482
2440;-5900;14252;719;199;9;84567
2104;-5596;14424;778;256;-294;84652
2212;-5204;14368;836;1;53;84738
2220;-5256;14452;478;117;47;84823
1980;-5152;14400;468;42;35;84908
2116;-4960;14468;-210;3;169;84993
2216;-5212;14404;-537;4;227;85079
2384;-5132;14528;-471;21;137;85164
2176;-5520;14276;-693;74;163;85249
2192;-5448;14432;-747;28;212;85335
2168;-5824;14336;-496;-38;254;85420
2324;-4912;13072;-1486;109;192;85505
2184;-3456;9680;-15821;2562;1690;85590
1868;-14192;18008;-14542;3059;420;85676
592;-13476;13416;3939;-422;-1415;85761
1140;-10012;10848;5562;-1479;-148;85846
1724;-9056;11780;2888;-924;1132;85932
1812;-9260;13032;2409;-743;489;86017
1824;-8308;13256;2477;-830;-86;86102
2292;-7376;13560;3012;-1208;80;86187
2336;-6844;13360;2391;-1104;549;86273
2692;-6988;13260;1064;-677;638;86358
2772;-7268;13988;629;-660;397;86443
2852;-7088;13760;1487;-327;76;86529
2792;-6388;14028;1469;-293;-77;86614
2988;-5932;13704;1119;-305;273;86699
2912;-5908;13760;272;216;134;86784
2496;-6264;14312;586;248;-93;86870
2804;-5832;14188;1059;-115;-124;86955
2932;-5348;13632;-144;-226;245;87040
3248;-5884;14272;-537;231;112;87124
2744;-5928;14388;339;116;-242;87211
3140;-5552;14392;755;-61;21;87296
3244;-3680;9652;-3618;1117;253;87380
2668;-4012;7840;-22940;4715;1646;87467
1332;-21988;25700;-9415;3786;-2296;87552
544;-11368;9628;7708;-813;-1761;87636
1740;-9432;10644;5095;-1133;801;87721
1860;-9916;11732;3630;-1023;1057;87808
2284;-9496;12668;3180;-850;495;87892
2488;-8336;13032;3151;-339;-46;87977
2580;-7444;13772;3368;-123;-548;88064
2348;-6952;13976;5153;150;-542;88148
2128;-6220;13088;3593;90;-175;88233
2312;-5316;14220;1394;-616;444;88318
2544;-5048;13416;-1505;-190;1021;88404
2780;-5768;15140;-1073;-112;508;88489
2720;-5992;13232;-1613;-562;774;88574
2932;-7240;13864;-1739;109;584;88660
2604;-7044;13804;-731;40;-22;88745
2548;-7120;14180;65;-14;116;88830
2688;-6800;14064;1212;174;64;88915
3520;-9336;27104;20669;206;-946;89001
2268;1804;3312;20412;2359;-1815;89086
2480;1948;14444;1141;445;785;89171
1976;2388;14836;-1133;-614;-89;89257
2444;1496;12524;-10382;-120;337;89342
2688;-1144;17012;-12362;-449;465;89427
2820;-3240;15444;-5469;-563;870;89512
2748;-4720;14084;-3701;499;1171;89598
2584;-5364;14428;-3601;298;544;89683
2664;-6460;15068;-1578;-76;178;89768
2488;-5612;13964;-711;-21;371;89853
2484;-5648;14244;-622;29;430;89939
2644;-5744;14324;-508;50;171;90024
2424;-5780;13988;-926;71;63;90109
2448;-6104;14004;-1571;-64;475;90195
2692;-6516;14052;-876;61;331;90280
2792;-6660;13804;-609;187;-14;90365
2396;-6600;13816;-234;250;-101;90450
2544;-6716;14060;74;194;-40;90536
2700;-6468;13720;52;107;22;90621
2384;-6560;14144;-78;525;-573;90706
2164;-6472;13964;169;43;-70;90792
2500;-6512;14004;397;-17;320;90877
2424;-6564;14116;321;259;-243;90962
2360;-6184;14192;416;312;-363;91047
3192;-12132;24940;23493;-75;-1597;91133
2444;936;5788;20647;499;-2229;91218
2552;4076;13044;-1012;364;-88;91303
2136;2288;15380;-1762;-99;56;91389
